Time[s], vd1.8V
18.06265875, 0
18.06287373, 1
18.09601899, 0
18.09997698, 1
18.13312280, 0
18.13334404, 1
18.16648972, 0
18.16671501, 1
18.19986086, 0
18.20039048, 1
18.23353724, 0
18.23375689, 1
18.26690281, 0
18.26708802, 1
18.30023524, 0
18.30416180, 1
18.33730907, 0
18.33758992, 1
18.37073832, 0
18.37103242, 1
18.40418017, 0
18.40438763, 1
18.43753568, 0
18.43781109, 1
18.47095896, 0
18.47121516, 1
18.50434512, 0
18.50459702, 1
18.53772693, 0
18.53793844, 1
18.57106768, 0
18.57134579, 1
18.60447555, 0
18.60472280, 1
18.63783884, 0
18.63807728, 1
18.67119245, 0
18.67143848, 1
18.70455175, 0
18.70680933, 1
18.73992403, 0
18.74067341, 1
18.77379564, 0
18.77397815, 1
18.80710146, 0
18.80982752, 1
18.84295013, 0
18.84321409, 1
18.87633659, 0
18.87773554, 1
18.91085797, 0
18.91128963, 1
18.94441160, 0
18.94460383, 1
18.97773255, 0
18.97810007, 1
19.01122786, 0
19.01140486, 1
19.04453272, 0
19.05109746, 1
19.08422560, 0
19.08441417, 1
19.11754200, 0
19.11815992, 1
19.15127325, 0
19.15351381, 1
19.18662709, 0
19.18685164, 1
19.21996962, 0
19.22174730, 1
19.25486199, 0
19.25636779, 1
19.28948151, 0
19.28972639, 1
19.32284025, 0
19.32414615, 1
19.35727444, 0
19.35746383, 1
19.39058651, 0
19.39254266, 1
19.42566563, 0
19.42696921, 1
19.46009402, 0
19.46031698, 1
19.49345583, 0
19.50086440, 1
19.53400326, 0
19.53478886, 1
19.56792129, 0
19.56818365, 1
19.60131559, 0
19.60290816, 1
19.63605586, 0
19.63632915, 1
19.66948051, 0
19.67548234, 1
19.70862847, 0
19.70883794, 1
19.74198758, 0
19.74244699, 1
19.77559671, 0
19.77671219, 1
19.80987355, 0
19.81004500, 1
19.84312308, 0
19.84330756, 1
21.02693301, 0
21.03450304, 1
21.06758495, 0
21.06780257, 1
21.10096310, 0
21.10119154, 1
21.13434445, 0
21.13454982, 1
21.16769541, 0
21.16788910, 1
21.20103632, 0
21.20160875, 1
21.23475511, 0
21.23494149, 1
21.26808764, 0
21.27001422, 1
21.30314520, 0
21.30333748, 1
21.33646911, 0
21.33666476, 1
21.36980379, 0
21.37044644, 1
21.40358557, 0
21.40382293, 1
21.43695122, 0
21.43717644, 1
21.47029088, 0
21.47047831, 1
21.50360108, 0
21.50380087, 1
21.53692861, 0
21.53712015, 1
21.57023494, 0
21.57041442, 1
21.60352773, 0
21.60525946, 1
21.63837312, 0
21.63857909, 1
21.67169276, 0
21.67278480, 1
21.70589906, 0
21.70698970, 1
21.74010525, 0
21.74032775, 1
21.77344171, 0
21.77440494, 1
21.80753310, 0
21.80781028, 1
21.84093825, 0
21.84813942, 1
21.88126807, 0
21.88145450, 1
21.91458243, 0
21.91619829, 1
21.94932611, 0
21.95175049, 1
21.98487318, 0
21.98507639, 1
22.01819893, 0
22.01839264, 1
22.05151678, 0
22.05171379, 1
22.08483780, 0
22.08502619, 1
22.11814849, 0
22.12200482, 1
22.15512775, 0
22.15539835, 1
22.18851206, 0
22.18868841, 1
22.22180218, 0
22.22197980, 1
22.25509422, 0
22.25527745, 1
22.28840848, 0
22.29109638, 1
22.32422534, 0
22.32441407, 1
22.35754321, 0
22.36272912, 1
22.39586022, 0
22.39678613, 1
22.42993430, 0
22.43051282, 1
22.46393371, 0
22.46438569, 1
22.49753161, 0
22.49837377, 1
22.53152028, 0
22.53182209, 1
22.56496738, 0
22.56543489, 1
22.59858112, 0
22.59916671, 1
22.63231320, 0
22.63258267, 1
22.66572881, 0
22.66779891, 1
22.70094445, 0
22.70113845, 1
22.73428421, 0
22.73452527, 1
22.76767032, 0
22.77096217, 1
22.80410735, 0
22.80429060, 1
22.83743716, 0
22.84032909, 1
22.87347496, 0
22.87451071, 1
22.90765660, 0
22.91200629, 1
22.94515257, 0
22.94564888, 1
22.97879562, 0
22.97899839, 1
23.01214393, 0
23.01578465, 1
23.04893110, 0
23.05057689, 1
23.08372308, 0
23.08396962, 1
23.11711617, 0
23.12178549, 1
23.15493113, 0
23.15513119, 1
23.18827756, 0
23.18998803, 1
23.22313428, 0
23.22362250, 1
23.25677586, 0
23.25697405, 1
23.29012466, 0
23.29054658, 1
23.32369797, 0
23.32391917, 1
23.35707064, 0
23.35724648, 1
24.47243308, 0
24.47271519, 1
24.50620857, 0
24.51172072, 1
24.54487234, 0
24.54541149, 1
24.57856311, 0
24.58306206, 1
24.61621292, 0
24.61642685, 1
24.64957849, 0
24.64980204, 1
24.68295443, 0
24.68361042, 1
24.71675617, 0
24.71697044, 1
24.75011680, 0
24.75149441, 1
24.78464051, 0
24.78696602, 1
24.82011261, 0
24.82033923, 1
24.85348522, 0
24.85541318, 1
24.88855972, 0
24.88879827, 1
24.92194393, 0
24.92241022, 1
24.95555600, 0
24.95617820, 1
24.98932599, 0
24.98953439, 1
25.02267950, 0
25.02599089, 1
25.05913658, 0
25.05986923, 1
25.09301550, 0
25.09322230, 1
25.12636826, 0
25.13031541, 1
25.16346083, 0
25.16371965, 1
